,product_name,prev_price,curr_price,special_offer,image_url,category,sub-category
84,7 Days Bake Rolls Pizza 80g,€ 0.85,€ 0.80,NA,https://www.greens.com.mt/media/products/0129/5201360671069.jpg,Confectionery,Snacks and Crisps
85,7 Days Bake Rolls Plain 80g,€ 0.85,€ 0.80,NA,https://www.greens.com.mt/media/products/0129/5201360639007.jpg,Confectionery,Snacks and Crisps
86,7 Days Bake Rolls Sour Cream&onion 80g,€ 0.85,€ 0.80,NA,https://www.greens.com.mt/media/products/0133/5201360674503.jpg,Confectionery,Croissants
87,7 Days Bake Rolls Tomato Olive 80g,€ 0.85,€ 0.80,NA,https://www.greens.com.mt/media/products/0115/5201360639571.jpg,Confectionery,Snacks and Crisps
88,7 Days Croissant Crem Brule 80g,€ 0.80,€ 0.79,NA,https://www.greens.com.mt/media/products/0116/5201360112159.jpg,Confectionery,Croissants
89,7 Days Croissants Chocolate O 3+1 80g,€ 2.99,€ 2.94,NA,https://www.greens.com.mt/media/products/0331/5201360501311.jpg,Confectionery,Croissants
90,7 Days Croissants Chocolate Olate 6pc 40g,€ 2.40,€ 2.36,NA,https://www.greens.com.mt/media/products/0732/5201360582280.jpg,Confectionery,Croissants
91,7 Days Double Croissant Vanilla&cherry 80g,€ 0.80,€ 0.79,NA,https://www.greens.com.mt/media/products/0116/5201360501571.jpg,Confectionery,Croissants
92,7 Days Midi Croissant Cocoa 60g,€ 0.60,€ 0.59,NA,https://www.greens.com.mt/media/products/0115/5201360521210.jpg,Confectionery,Croissants
93,7 Days Mini Croissant Chocolate 60g,€ 0.99,€ 0.97,NA,https://www.greens.com.mt/media/products/0115/5201360571208.jpg,Confectionery,Croissants
94,7 Days Mini Double Croissant Chocolate&vanilla 60g,€ 0.99,€ 0.97,NA,https://www.greens.com.mt/media/products/0115/5201360552726.jpg,Confectionery,Croissants
95,7 Textures Of Chocolate,NA,€ 2.70,NA,https://www.greens.com.mt/media/products/noimages.jpg,Confectionery,Sweets
96,7up 1.5l,NA,€ 1.49,NA,https://www.greens.com.mt/media/products/0144/5352201083074.jpg,Beverages,Soft Drinks
97,7up 1.5l X6 8.49,€ 9.96,€ 9.09,NA,https://www.greens.com.mt/media/products/0940/5352201283221.jpg,Beverages,Soft Drinks
98,7up 500ml,€ 1.34,€ 1.25,NA,https://www.greens.com.mt/media/products/0144/5352201083012.jpg,Beverages,Soft Drinks
99,7up Can 330ml,NA,€ 0.72,NA,https://www.greens.com.mt/media/products/0320/87177756.jpg,Beverages,Soft Drinks
100,7up Free 1.5l,NA,€ 1.52,NA,https://www.greens.com.mt/media/products/0151/5352201083159.jpg,Beverages,Soft Drinks
101,7up Free 6x1.5l E7.49,NA,€ 8.09,NA,https://www.greens.com.mt/media/products/noimages.jpg,Beverages,Soft Drinks
102,7up Light Bottle 500ml,NA,€ 1.20,NA,https://www.greens.com.mt/media/products/0200/4060800109798.jpg,Beverages,Soft Drinks
103,8.6 Ipl Can 500ml,€ 2.34,€ 2.27,NA,https://www.greens.com.mt/media/products/1202/8714800036214.jpg,Winecellar,Beers
104,8.6 Monegros Original Cans 50cl,NA,€ 1.99,NA,https://www.greens.com.mt/media/products/0115/8714800004114.jpg,Winecellar,Beers
105,8.6 Red Can 500ml,€ 2.34,€ 2.27,NA,https://www.greens.com.mt/media/products/1202/8714800014182.jpg,Winecellar,Beers
